timestamp,subject_id,status,pre_threat,cog_load,action
2026-05-25T22:53:04.726823,subj_0,STRESSED,40.65,100.00,OBSERVE
2026-05-25T22:53:04.776122,subj_0,ELEVATED,61.62,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:04.823733,subj_0,STRESSED,40.74,100.00,OBSERVE
2026-05-25T22:53:04.865238,subj_0,CRITICAL_THREAT,78.58,100.00,INTERCEPT
2026-05-25T22:53:05.414532,subj_0,CRITICAL_THREAT,78.45,100.00,INTERCEPT
2026-05-25T22:53:05.988852,subj_0,ELEVATED,64.12,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:06.047950,subj_0,CRITICAL_THREAT,78.46,100.00,INTERCEPT
2026-05-25T22:53:06.626608,subj_0,CRITICAL_THREAT,76.94,100.00,INTERCEPT
2026-05-25T22:53:07.205756,subj_0,CRITICAL_THREAT,75.82,100.00,INTERCEPT
2026-05-25T22:53:07.787606,subj_0,CRITICAL_THREAT,79.74,100.00,INTERCEPT
2026-05-25T22:53:08.367580,subj_0,ELEVATED,73.72,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:08.436108,subj_0,CRITICAL_THREAT,80.72,100.00,INTERCEPT
2026-05-25T22:53:09.019644,subj_0,ELEVATED,73.66,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:09.079427,subj_0,CRITICAL_THREAT,77.61,100.00,INTERCEPT
2026-05-25T22:53:09.661684,subj_0,CRITICAL_THREAT,77.60,100.00,INTERCEPT
2026-05-25T22:53:10.234354,subj_0,CRITICAL_THREAT,80.27,100.00,INTERCEPT
2026-05-25T22:53:10.812050,subj_0,STRESSED,40.68,100.00,OBSERVE
2026-05-25T22:53:10.870088,subj_0,STRESSED,42.52,100.00,OBSERVE
2026-05-25T22:53:10.929990,subj_0,STRESSED,40.76,100.00,OBSERVE
2026-05-25T22:53:10.987927,subj_0,ELEVATED,64.54,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:11.048817,subj_0,ELEVATED,69.31,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:11.116788,subj_0,STRESSED,40.89,100.00,OBSERVE
2026-05-25T22:53:11.171755,subj_0,CRITICAL_THREAT,80.10,100.00,INTERCEPT
2026-05-25T22:53:11.723349,subj_0,STRESSED,40.93,100.00,OBSERVE
2026-05-25T22:53:11.775316,subj_0,ELEVATED,55.02,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:11.815053,subj_0,STRESSED,41.05,100.00,OBSERVE
2026-05-25T22:53:11.845803,subj_0,ELEVATED,74.92,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:11.879011,subj_0,STRESSED,41.05,100.00,OBSERVE
2026-05-25T22:53:11.925951,subj_0,ELEVATED,62.59,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:11.971759,subj_0,CRITICAL_THREAT,80.93,100.00,INTERCEPT
2026-05-25T22:53:12.541336,subj_0,CRITICAL_THREAT,78.05,100.00,INTERCEPT
2026-05-25T22:53:13.096488,subj_0,ELEVATED,67.94,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:13.147455,subj_0,STRESSED,41.22,100.00,OBSERVE
2026-05-25T22:53:13.192596,subj_0,ELEVATED,52.88,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:13.237154,subj_0,ELEVATED,69.52,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:13.284682,subj_0,ELEVATED,67.54,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:13.331611,subj_0,ELEVATED,68.16,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:13.376577,subj_0,ELEVATED,60.09,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:13.424067,subj_0,ELEVATED,74.34,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:13.469283,subj_0,ELEVATED,51.22,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:13.517939,subj_0,STRESSED,41.77,100.00,OBSERVE
2026-05-25T22:53:13.566154,subj_0,ELEVATED,60.27,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:13.610787,subj_0,STRESSED,41.86,100.00,OBSERVE
2026-05-25T22:53:13.659155,subj_0,STRESSED,41.91,100.00,OBSERVE
2026-05-25T22:53:13.661154,subj_1,STRESSED,30.07,100.00,OBSERVE
2026-05-25T22:53:13.706591,subj_0,STRESSED,41.91,100.00,OBSERVE
2026-05-25T22:53:13.748402,subj_0,CRITICAL_THREAT,77.98,100.00,INTERCEPT
2026-05-25T22:53:14.315172,subj_0,STRESSED,41.96,100.00,OBSERVE
2026-05-25T22:53:14.317877,subj_1,STRESSED,30.07,100.00,OBSERVE
2026-05-25T22:53:14.373233,subj_0,STRESSED,41.93,100.00,OBSERVE
2026-05-25T22:53:14.430813,subj_0,STRESSED,42.00,100.00,OBSERVE
2026-05-25T22:53:14.432812,subj_1,STRESSED,30.06,100.00,OBSERVE
2026-05-25T22:53:14.489896,subj_0,ELEVATED,61.78,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:14.544552,subj_0,ELEVATED,49.12,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:14.546550,subj_1,STRESSED,37.01,100.00,OBSERVE
2026-05-25T22:53:14.582625,subj_0,ELEVATED,69.14,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:14.627640,subj_0,STRESSED,42.09,100.00,OBSERVE
2026-05-25T22:53:14.629639,subj_1,STRESSED,30.07,100.00,OBSERVE
2026-05-25T22:53:14.671487,subj_0,CRITICAL_THREAT,78.89,100.00,INTERCEPT
2026-05-25T22:53:15.232503,subj_0,CRITICAL_THREAT,82.24,100.00,INTERCEPT
2026-05-25T22:53:15.780143,subj_0,STRESSED,44.73,100.00,OBSERVE
2026-05-25T22:53:15.835246,subj_0,STRESSED,42.07,100.00,OBSERVE
2026-05-25T22:53:15.837244,subj_1,STRESSED,30.07,100.00,OBSERVE
2026-05-25T22:53:15.872985,subj_0,ELEVATED,70.51,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:15.919147,subj_0,STRESSED,42.10,100.00,OBSERVE
2026-05-25T22:53:15.971225,subj_0,STRESSED,42.04,100.00,OBSERVE
2026-05-25T22:53:15.972188,subj_1,STRESSED,30.08,100.00,OBSERVE
2026-05-25T22:53:16.018906,subj_0,CRITICAL_THREAT,83.19,100.00,INTERCEPT
2026-05-25T22:53:16.593300,subj_0,STRESSED,41.99,100.00,OBSERVE
2026-05-25T22:53:16.594299,subj_1,STRESSED,36.20,100.00,OBSERVE
2026-05-25T22:53:16.654594,subj_0,CRITICAL_THREAT,80.35,100.00,INTERCEPT
2026-05-25T22:53:17.243594,subj_0,STRESSED,41.97,100.00,OBSERVE
2026-05-25T22:53:17.245342,subj_1,STRESSED,30.07,100.00,OBSERVE
2026-05-25T22:53:17.295539,subj_0,STRESSED,41.96,100.00,OBSERVE
2026-05-25T22:53:17.361170,subj_0,STRESSED,41.95,100.00,OBSERVE
2026-05-25T22:53:17.363170,subj_1,STRESSED,30.07,100.00,OBSERVE
2026-05-25T22:53:17.421211,subj_0,CRITICAL_THREAT,78.86,100.00,INTERCEPT
2026-05-25T22:53:17.985355,subj_0,STRESSED,41.92,100.00,OBSERVE
2026-05-25T22:53:17.987396,subj_1,STRESSED,30.07,100.00,OBSERVE
2026-05-25T22:53:18.046157,subj_0,CRITICAL_THREAT,81.55,100.00,INTERCEPT
2026-05-25T22:53:18.608049,subj_0,STRESSED,41.89,100.00,OBSERVE
2026-05-25T22:53:18.610054,subj_1,STRESSED,30.07,100.00,OBSERVE
2026-05-25T22:53:18.665509,subj_0,ELEVATED,61.55,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:18.725587,subj_0,ELEVATED,60.61,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:18.727586,subj_1,STRESSED,35.75,100.00,OBSERVE
2026-05-25T22:53:18.779166,subj_0,CRITICAL_THREAT,81.92,100.00,INTERCEPT
2026-05-25T22:53:19.332111,subj_0,STRESSED,41.87,100.00,OBSERVE
2026-05-25T22:53:19.334112,subj_1,STRESSED,30.06,100.00,OBSERVE
2026-05-25T22:53:19.384326,subj_0,CRITICAL_THREAT,82.61,100.00,INTERCEPT
2026-05-25T22:53:19.943906,subj_0,CRITICAL_THREAT,81.93,100.00,INTERCEPT
2026-05-25T22:53:20.506928,subj_0,STRESSED,41.79,100.00,OBSERVE
2026-05-25T22:53:20.509436,subj_1,STRESSED,30.06,100.00,OBSERVE
2026-05-25T22:53:20.550230,subj_0,STRESSED,41.79,100.00,OBSERVE
2026-05-25T22:53:20.611600,subj_0,STRESSED,41.75,100.00,OBSERVE
2026-05-25T22:53:20.676953,subj_0,STRESSED,41.77,100.00,OBSERVE
2026-05-25T22:53:20.735038,subj_0,STRESSED,41.73,100.00,OBSERVE
2026-05-25T22:53:20.787358,subj_0,STRESSED,41.76,100.00,OBSERVE
2026-05-25T22:53:20.845148,subj_0,STRESSED,41.72,100.00,OBSERVE
2026-05-25T22:53:20.908186,subj_0,STRESSED,41.72,100.00,OBSERVE
2026-05-25T22:53:20.956288,subj_0,STRESSED,41.69,100.00,OBSERVE
2026-05-25T22:53:20.991769,subj_0,STRESSED,41.67,100.00,OBSERVE
2026-05-25T22:53:21.037110,subj_0,STRESSED,41.65,100.00,OBSERVE
2026-05-25T22:53:21.083325,subj_0,ELEVATED,72.21,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:21.127561,subj_0,STRESSED,41.55,100.00,OBSERVE
2026-05-25T22:53:21.175980,subj_0,STRESSED,41.57,100.00,OBSERVE
2026-05-25T22:53:21.221384,subj_0,STRESSED,41.51,100.00,OBSERVE
2026-05-25T22:53:21.268912,subj_0,STRESSED,41.51,100.00,OBSERVE
2026-05-25T22:53:21.318136,subj_0,STRESSED,41.46,100.00,OBSERVE
2026-05-25T22:53:21.361161,subj_0,STRESSED,41.44,100.00,OBSERVE
2026-05-25T22:53:21.411789,subj_0,STRESSED,41.41,100.00,OBSERVE
2026-05-25T22:53:21.457424,subj_0,STRESSED,41.44,100.00,OBSERVE
2026-05-25T22:53:21.458968,subj_1,STRESSED,30.06,100.00,OBSERVE
2026-05-25T22:53:21.501959,subj_0,CRITICAL_THREAT,79.66,100.00,INTERCEPT
2026-05-25T22:53:22.065921,subj_0,CRITICAL_THREAT,81.16,100.00,INTERCEPT
2026-05-25T22:53:22.627995,subj_0,CRITICAL_THREAT,82.26,100.00,INTERCEPT
2026-05-25T22:53:23.210471,subj_0,CRITICAL_THREAT,81.11,100.00,INTERCEPT
2026-05-25T22:53:23.784330,subj_0,CRITICAL_THREAT,77.83,100.00,INTERCEPT
2026-05-25T22:53:24.370389,subj_0,CRITICAL_THREAT,80.39,100.00,INTERCEPT
2026-05-25T22:53:24.949489,subj_0,CRITICAL_THREAT,80.39,100.00,INTERCEPT
2026-05-25T22:53:25.536389,subj_0,STRESSED,40.99,100.00,OBSERVE
2026-05-25T22:53:25.608169,subj_0,STRESSED,40.92,100.00,OBSERVE
2026-05-25T22:53:25.666149,subj_0,SPOOF_DETECTED,40.86,100.00,VERIFY_LIVENESS
2026-05-25T22:53:26.733924,subj_0,SPOOF_DETECTED,40.77,100.00,VERIFY_LIVENESS
2026-05-25T22:53:27.804223,subj_0,STRESSED,40.68,100.00,OBSERVE
2026-05-25T22:53:27.864433,subj_0,STRESSED,40.53,100.00,OBSERVE
2026-05-25T22:53:27.914483,subj_0,STRESSED,40.36,100.00,OBSERVE
2026-05-25T22:53:27.984774,subj_0,STRESSED,40.22,100.00,OBSERVE
2026-05-25T22:53:28.040396,subj_0,STRESSED,40.09,100.00,OBSERVE
2026-05-25T22:53:28.106500,subj_0,STRESSED,39.99,100.00,OBSERVE
2026-05-25T22:53:28.164649,subj_0,STRESSED,39.91,100.00,OBSERVE
2026-05-25T22:53:28.210223,subj_0,STRESSED,39.84,100.00,OBSERVE
2026-05-25T22:53:28.258795,subj_0,STRESSED,39.78,100.00,OBSERVE
2026-05-25T22:53:28.305989,subj_0,STRESSED,39.72,100.00,OBSERVE
2026-05-25T22:53:28.351759,subj_0,STRESSED,39.65,100.00,OBSERVE
2026-05-25T22:53:28.400928,subj_0,STRESSED,39.58,100.00,OBSERVE
2026-05-25T22:53:28.451867,subj_0,STRESSED,39.48,100.00,OBSERVE
